Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
4,320,,,355,136,,,,-219,
3,355,475,,299,,,120,,,
5,155,,,3,543,363,,,540,360
5,,,,674,683,737,,,9,63
5,15,,,476,536,660,,,60,184
5,150,480,305,749,,,330,155,,
5,160,425,530,667,,,265,370,,
3,305,385,490,512,,,80,185,,
3,240,270,325,38,,,30,85,,
3,55,45,95,0,,,-10,40,,
3,340,,,476,463,456,,,-13,-20
3,420,,,159,243,384,,,84,225
3,320,,,272,310,376,,,38,104
3,505,,,364,593,653,,,229,289
3,190,350,565,20,,,160,375,,
3,185,185,-90,134,,,0,-275,,
3,35,,,128,103,305,,,-25,177
5,350,355,360,380,,,5,10,,
5,-185,,,0,0,0,,,0,0
4,270,270,300,,,,0,30,,
5,300,,,291,283,315,,,-8,24
4,,,,160,235,239,,,75,79
5,20,315,325,73,,,295,305,,
4,,,,469,490,516,,,21,47
4,440,,,475,514,599,,,39,124
4,395,,,0,214,409,,,214,409
5,-85,,,0,0,95,,,0,95
5,355,505,365,671,,,150,10,,
3,230,220,550,156,,,-10,320,,
3,-230,90,200,0,,,320,430,,
3,185,195,400,149,,,10,215,,
3,-135,,,0,0,0,,,0,0
3,175,,,0,0,0,,,0,0
3,190,115,415,0,,,-75,225,,
3,-175,,,0,0,0,,,0,0
3,-335,-50,220,0,,,285,555,,
3,-105,,,51,0,274,,,-51,223
3,-65,55,-10,0,,,120,55,,
3,-175,,,0,0,0,,,0,0
5,370,,,386,504,444,,,118,58
5,290,345,875,428,,,55,585,,
5,290,445,730,448,,,155,440,,
5,150,565,585,679,,,415,435,,
5,370,520,,,,,150,,,
5,525,,,408,565,581,,,157,173
5,265,,,361,341,382,,,-20,21
5,215,555,350,684,,,340,135,,
5,410,,,515,669,720,,,154,205
5,5,,,417,473,687,,,56,270
5,135,,,330,488,519,,,158,189
4,,,,543,,532,,,,-11
4,,,,337,,351,,,,14
4,150,,150,,,,,0,,
4,,,,299,,362,,,,63
4,145,275,485,124,,,130,340,,
4,25,330,345,441,,,305,320,,
4,430,,,340,437,308,,,97,-32
4,,,,338,,479,,,,141
4,140,290,300,737,,,150,160,,
4,270,,,240,391,489,,,151,249
4,-45,300,240,74,,,345,285,,
4,195,415,280,140,,,220,85,,
4,205,,,0,168,269,,,168,269
4,,,,523,,556,,,,33
3,130,135,100,0,,,5,-30,,
3,115,340,390,0,,,225,275,,
3,0,-85,155,0,,,-85,155,,
3,95,,,0,0,59,,,0,59
3,-15,,,0,5,85,,,5,85
3,245,,,0,213,252,,,213,252
3,195,,,146,161,158,,,15,12
3,180,255,415,382,,,75,235,,
3,35,,,0,228,344,,,228,344
3,-175,60,55,120,,,235,230,,
3,255,,,0,170,331,,,170,331
4,50,,,150,149,222,,,-1,72
4,45,,,488,362,446,,,-126,-42
4,-170,410,570,0,,,580,740,,
4,20,,,57,0,271,,,-57,214
4,185,,,222,0,105,,,-222,-117
4,-95,,,0,133,270,,,133,270
4,445,385,470,603,,,-60,25,,
4,235,,,306,311,358,,,5,52
4,220,350,385,115,,,130,165,,
4,230,250,455,52,,,20,225,,
4,280,480,760,19,,,200,480,,
3,220,,,318,254,,,,-64,
4,490,,,321,456,533,,,135,212
4,435,,,439,464,509,,,25,70
4,295,430,725,286,,,135,430,,
4,210,,,495,709,894,,,214,399
4,360,,,382,461,385,,,79,3
4,265,,,276,385,565,,,109,289
4,330,,,597,617,669,,,20,72
4,250,520,570,620,,,270,320,,
4,440,540,690,501,,,100,250,,
4,295,325,665,379,,,30,370,,
4,180,565,765,192,,,385,585,,
5,360,365,585,511,,,5,225,,
5,225,,,582,658,702,,,76,120
5,500,850,825,776,,,350,325,,
5,475,,,647,761,836,,,114,189
5,280,425,600,479,,,145,320,,
5,365,475,425,320,,,110,60,,
5,320,,,686,695,760,,,9,74
5,385,,,554,504,722,,,-50,168
5,470,,,609,697,815,,,88,206
5,225,,,320,424,632,,,104,312
5,335,470,580,622,,,135,245,,
4,230,355,355,450,,,125,125,,
4,-60,,,209,370,446,,,161,237
4,380,,,452,453,494,,,1,42
4,470,,,342,503,591,,,161,249
